a	một
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advertisement	quảng cáo
advertising	sự quảng cáo, nghề quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
adviser	cố vấn
advocate	biện hộ
aesthetic	thẩm mỹ
affair	việc
affect	làm ảnh hưởng, tác động đến
afford	có thể, có đủ khả năng, điều kiện
afraid	sợ, sợ hãi, hoảng sợ
african	châu phi
african-american	người mỹ gốc phi
after	sau, đằng sau, sau khi
afternoon	buổi chiều
afterward	sau đó
afterwards	sau này, về sau, rồi thì, sau đấy
again	lại, nữa, lần nữa
against	chống lại, phản đối
age	tuổi
aged	già đi
agency	tác dụng, lực, môi giới, trung gian
agenda	chương trình nghị sự
agent	đại lý, tác nhân
aggression	hiếu chiến
aggressive	xâm lược, hung hăng
ago	trước đây
agree	đồng ý, tán thành
agreement	sự đồng ý, tán thành, hiệp định, hợp đồng
agricultural	nông nghiệp
agriculture	nông nghiệp
ah	ah
ahead	trước, về phía trước
aid	sự giúp đỡ, thêm vào, phụ vào
aide	trợ lý
aids	AIDS
aim	sự nhắm , mục tiêu, ý định, nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
aircraft	máy bay, khí cầu
airline	hãng hàng không
airplane	máy bay
airport	sân bay
aisle	lối đi
alarm	báo động, báo nguy
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
album	album
alcohol	rượu cồn
alcoholic	rượu, người nghiện rượu
alien	người ngoài hành tinh
alike	như nhau
alive	sống, vẫn còn sống, còn tồn tại
all	tất cả
all right	tốt, ổn, khỏe mạnh, được
allegation	cáo buộc
alleged	cáo buộc
allegedly	bị cáo buộc
alley	hẻm
alliance	liên minh
allied	lien minh, đồng minh, thông
allow	cho phép, để cho
ally	nước đồng minh, liên minh, liên kết, lien minh, kết thông gia
almost	hầu hết
alone	cô đơn, một mình
along	dọc theo, theo, theo chiều dài, suốt theo
alongside	sát cạnh, kế bên, dọc theo
aloud	lớn tiếng, to tiếng
alphabet	bảng chữ cái, bước đầu, điều cơ bản
alphabetical	thuộc bảng chứ cái
alphabetically	theo thứ tự abc
already	đã, rồi, đã… rồi
also	cũng, cũng vậy, cũng thế
alter	thay đổi, biến đổi, sửa đổi
alternative	sự lựa chọn, lựa chọn
although	mặc dù, dẫu cho
altogether	hoàn toàn, hầu như, nói chung
aluminum	nhôm
always	luôn luôn
am	lÀ
amaze	làm ngạc nhiên, làm sửng sốt
amazed	kinh ngạc, sửng sốt
amazing	kinh ngạc, sửng sốt
ambassador	đại sứ
ambition	hoài bão, khát vọng
ambitious	đầy tham vọng
ambulance	xe cứu thương, xe cấp cứu
amendment	sửa đổi
american	người mỹ
amid	giữa
among	giữa, ở giữa
amount	số lượng, số nhiều, lên tới
amuse	làm cho vui, thích, làm buồn cười
amused	vui thích
amusing	vui thích
analyse	phân tích
analysis	sự phân tích
analyst	nhà phân tích
analyze	phân tích
ancestor	tổ tiên
ancient	xưa, cổ
and	và
and/or	và / hoặc
angel	thiên thần
anger	sự tức giận, sự giận dữ
angle	góc
angrily	tức giận, giận dữ
angry	giận, tức giận
animal	động vật, thú vật
ankle	mắt cá chân
anniversary	ngày, lễ kỉ niệm
announce	báo, thông báo
announcement	thông báo
annoy	chọc tức, làm bực mình, làm phiền, quẫy nhiễu
annoyed	bị khó chịu, bực mình, bị quấy rầy
annoying	chọc tức, làm bực mình, làm phiền, quẫy nhiễu
annual	hàng năm, từng năm
annually	hàng năm, từng năm
anonymous	vô danh
another	khác
answer	sự trả lời, trả lời
anti- prefix	chống lại
anticipate	thấy trước, chặn trước, lường trước
anxiety	mối lo âu, sự lo lắng
anxious	lo âu, lo lắng, băn khoăn
anxiously	lo âu, lo lắng, băn khoăn
any	một người, vật nào đó, bất cứ, một chút nào, tí nào
anybody	bất kỳ ai
anymore	nữa không
anyone	người nào, bất cứ ai
anything	việc gì, vật gì, bất cứ việc gì, vật gì
anyway	thế nào cũng được, dù sao chăng nữa
anywhere	bất cứ chỗ nào, bất cứ nơi đâu
apart	về một bên, qua một bên
apart from	ngoài… ra
apartment	căn phòng, căn buồng
apologize	xin lỗi, tạ lỗi
apology	xin lỗi
apparent	rõ ràng, rành mạch, bề ngoài, có vẻ
apparently	nhìn bên ngoài, hình như
appeal	sự kêu gọi, lời kêu gọi, kêu gọi, cầu khẩn
appear	xuất hiện, hiện ra, trình diện
appearance	sự xuất hiện, sự trình diện
apple	quả táo
application	sự gắn vào, vật gắn vào, sự chuyên cần, chuyên tâm
apply	gắn vào, ghép vào, áp dụng vào
appoint	bổ nhiệm, chỉ định, chọn
appointment	sự bổ nhiệm, người được bổ nhiệm
appreciate	thấy rõ, nhận thức
appreciation	sự đánh giá
approach	đến gần, lại gần, sự đến gần, sự lại gần
appropriate	thích hợp, thích đáng
approval	sự tán thành, đồng ý, sự chấp thuận
approve	tán thành, đồng ý, chấp thuận
approving	tán thành, đồng ý, chấp thuận
approximate	giống với, giống hệt với
approximately	khoảng chừng, độ chừng
april	tháng tư
arab	arab
architect	kiến trúc sư
architecture	kiến trúc
area	diện tích, bề mặt
arena	đấu trường
argue	chứng tỏ, chỉ rõ
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	cánh tay, vũ trang, trang bị
armed	vũ trang
arms	vũ khí, binh giới, binh khí
army	quân đội
around	xung quanh, vòng quanh
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
array	mảng
arrest	bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrive	đến nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
articulate	khớp nối
artifact	đồ tạo tác
artificial	nhân tạo
artificially	nhân tạo
artist	nghệ sĩ
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	như
as soon as	ngay khi
as well	cũng, cũng như
ash	tro
ashamed	ngượng, xấu hổ
asian	châu Á
aside	về một bên, sang một bên
aside from	ngoài ra, trừ ra
ask	hỏi
asleep	ngủ, đang ngủ
aspect	vẻ bề ngoài, diện mạo
ass	mông
assault	tấn công
assemble	tập hợp
assembly	hội,, tổ hợp
assert	khẳng định
assess	đánh giá
assessment	thẩm định, lượng định, đánh giá
asset	tài sản
assign	chỉ định
assignment	nhiệm vụ
assist	giúp, giúp đỡ, tham dự, có mặt
assistance	sự giúp đỡ
assistant	người giúp đỡ, người phụ tá, giúp đỡ, phụ tá
associate	kết giao, liên kết, kết hợp, cho cộng tác
associated	liên kết
associated with	liên kết với
association	sự kết hợp, sự liên kết
assume	mang, khoác, có, lấy
assumption	giả thiết
assure	đảm bảo, cam đoan
astronomer	nhà thiên văn học
at	tại
at first	trực tiếp
at least	ít ra, ít nhất, chí ít
athlete	lực sĩ
athletic	khỏe mạnh
atmosphere	khí quyển
atom	nguyên tử
atop	trên
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	sự tấn công, sự công kích, tấn công, công kích
attempt	sự cố gắng, sự thử, cố gắng, thử
attempted	cố gắng, thử
attend	dự, có mặt
attendance	sự tham dự
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	người được ủy quyền
attract	hút, thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
attribute	thuộc tính
auction	bán đấu giá
audience	thính, khan giả
august	tháng tám
aunt	cô, dì
author	tác giả
authority	uy quyền, quyền lực
authorize	cho phép
auto	tự động
automatic	tự động
automatically	tự động
automobile	ôtô
autonomy	tự trị
autumn	mùa thu
availability	khả dụng
available	có thể dùng được, có giá trị, hiệu lực
average	trung bình, số trung bình, mức trung bình
avoid	tránh, tránh xa
await	chờ đợi
awake	đánh thức, làm thức dậy
award	phần thưởng, tặng, thưởng
aware	biết, nhận thức, nhận thức thấy
awareness	nhận thức
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awkward	vụng về, lung túng
baby	đứa bé
back	lưng, về phía sau, trở lại
background	phía sau, nền
backward	về phía sau, lùi lại
backyard	sân sau
bacteria	vi khuẩn
bad	xấu, tồi
bad-tempered	xấu tính, dễ nổi cáu
badly	xấu, tồi
bag	bao, túi, cặp xách
baggage	hành lý
bake	nung, nướng bằng lò
balance	cái cân, làm cho cân bằng, tương xứng
balanced	cân bằng
ball	quả bóng
balloon	quả bóng bay
ballot	phiếu
ban	cấm, cấm chỉ, sự cấm
banana	trái chuối
band	băng, đai, nẹp
bandage	dải băng, băng bó
bank	bờ  , đê
banker	chủ ngân hàng
banking	ngân hàng
bankruptcy	phá sản
bar	quán bán rượu
bare	trần
barely	vừa đủ
bargain	sự mặc cả, sự giao kèo mua bán
barn	chuồng trại
barrel	thùng
barrier	đặt chướng ngại vật
base	cơ sở, cơ bản, nền móng, đặt tên, đặt cơ sở trên cái gì
baseball	bóng chày
basement	tầng hầm
basic	cơ bản, cơ sở
basically	cơ bản, về cơ bản
basis	nền tảng, cơ sở
basket	cái rổ
basketball	bóng rổ
bat	gậy
bath	sự tắm
bathroom	buồng tắm, nhà vệ sinh
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian , bays: vòng nguyệt quế
be	được
be going to	sắp sửa, có ý định
be sick	bị ốm
beach	bãi biển
beak	mỏ chim
beam	chùm tia
bean	hạt đậu
bear	mang, cầm, vác, đeo, ôm
beard	râu
beast	quái thú
beat	tiếng đập, sự đập, đánh đập, đấm
beautiful	đẹp
beautifully	tốt đẹp, đáng hài lòng
beauty	vẻ đẹp, cái đẹp, người đẹp
because	bởi vì, vìbecause of prep. vì, do bởi
become	trở thành, trở nên
bed	cái giường
bedroom	phòng ngủ
bee	con ong
beef	thịt bò
beer	rượu bia
before	trước, đằng trước
beg	ăn xin
begin	bắt đầu, khởi đầu
beginning	phần đầu, lúc bắt đầu, lúc khởi đầu
behalf	sự thay mặt
behave	đối xử, ăn ở, cư xử
behavior	hành vi
behavioral	hành vi
behind	sau, ở đằng sau
being	đang
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belly	bụng
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bench	băng ghế
bend	chỗ rẽ, chỗ uốn, khuỷu tay, cúi xuống, uốn cong
beneath	ở dưới, dưới thấp
benefit	lợi, lợi ích, giúp ích, làm lợi cho
bent	khiếu, sở thích, khuynh hướng
beside	bên cạnh, so với
besides	ngoài ra
best	tốt
bet	đánh cuộc, cá cược, sự đánh cuộc
better	tốt hơn
betting	sự đánh cuộc
between	giữa, ở giữa
beyond	ở xa, phía bên kia
bias	sự thiên vị
bible	kinh thánh
bicycle	xe đạp
bid	đặt giá, trả giá, sự đặt giá, sự trả giá
big	to, lớn
bike	xe đạp
bill	hóa đơn, giấy bạc
billion	tỷ
bin	thùng, thùng đựng rượu
bind	trói buộc
biography	tiểu sử
biological	sinh học
biology	sinh vật học
bird	chim
birth	sự ra đời, sự sinh đẻ
birthday	ngày sinh, sinh nhật
biscuit	bánh quy
bishop	giám mục
bit	miếng, mảnh
bite	cắn, ngoạm, sự cắn, sự ngoạm
bitter	đắng, đắng cay, chua xót
bitterly	đắng, đắng cay, chua xót
black	đen, màu đen
blade	lưỡi
blame	khiển trách, mắng trách, sự khiển trách, sự mắng trách
blank	trống, để trắng, sự trống rỗng
blanket	cái mền
blankly	ngây ra, không có thần
blast	vụ nổ
blend	trộn
bless	ban phước
blessing	phước lành
blind	đui, mù
blink	chớp mắt
block	khối, tảng , làm ngăn cản, ngăn chặn
blond	tóc vàng
blonde	hoe vàng, mái tóc hoe vàng
blood	máu, huyết, sự tàn sát, chem giết
bloody	dính máu
blow	nở hoa, sự nở hoa
blue	xanh, màu xanh
board	tấm ván, lát ván, lót ván
boast	khoe khoan
boat	tàu, thuyền
body	thân thể, thân xác
boil	sôi, luộc
bold	dũng cảm
bolt	chớp
bomb	quả bom, oánh bom, thả bom
bombing	ném bom
bond	liên kết
bone	xương
bonus	thưởng
book	sách, ghi chép
boom	sự bùng nổ
boost	tăng
boot	giày ống
booth	gian hàng
border	bờ, mép, vỉa, lề
bore	buồn chán, buồn tẻ
boring	buồn chán
born	sinh ra
born: be born	sinh, đẻ
borrow	vay, mượn
boss	ông chủ, thủ trưởng
both	cả hai
bother	làm phiền, quấy rầy, làm bực mình
bottle	chai, lọ
bottom	phần dưới cùng, thấp nhất, cuối, cuối cùng
bounce	tung lên
bound	nhất định, chắc chắn
boundary	ranh giới
bow	cây cung
bowl	cái bát
box	hộp, thùng
boy	con trai, thiếu niên
boyfriend	bạn trai
brain	óc não, đầu óc, trí não
brake	phanh
branch	ngành, nhành cây, nhánh song, ngả đường
brand	nhãn
brave	gan dạ, can đảm
bread	bánh mỳ
break	bẻ gãy, đập vỡ, sự gãy, sự vỡ
breakfast	bữa điểm tâm, bữa sáng
breast	ngực, vú
breath	hơi thở, hơi
breathe	hít, thở
breathing	sự hô hấp, sự thở
breed	nuôi dưỡng, chăm sóc, giáo dục, sinh đẻ, nòi giống
breeze	khoe khoang
brick	gạch
bride	cô dâu
bridge	cái cầu
brief	ngắn, gọn, vắn tắt
briefly	ngắn, gọn, vắn tắt, tóm tắt
bright	sáng, sáng chói
brightly	sáng chói, tươi
brilliant	tỏa sáng, rực rỡ, chói lọi
bring	mang, cầm , xách lại
british	người anh
broad	rộng
broadcast	tung ra khắp nơi,truyền rộng rãi, phát thanh, quảng bá
broadly	rộng, rộng rãi
broken	bị gãy, bị vỡ
broker	người môi giới
bronze	đồng
brother	anh, em trai
brown	nâu, màu nâu
brush	bàn chải, chải, quét
brutal	tàn bạo
bubble	bong bóng, bọt, tăm
buck	buck
bucket	cái xô
buddy	bạn bè
budget	ngân sách
bug	lỗi
build	xây dựng
builder	người xây dựng
building	sự xây dựng, công trình xây dựng, tòa nhà binđinh
bulb	bóng đèn
bulk	số lượng lớn
bull	con bò
bullet	đạn
bunch	búi, chùm, bó, cụm, buồng, bầy, đàn
burden	gánh nặng
bureau	phòng làm việc
burn	đốt, đốt cháy, thắp, nung, thiêu
burning	đốt
burnt	bị đốt, bị cháy, khê, rám nắng, sạm
burst	nổ, nổ tung , háo hức
bury	chôn cất, mai táng
bus	xe buýt
bush	bụi cây, bụi rậm
business	việc buôn bán, thương mại, kinh doanh
businessman	doanh nhân
busy	bận, bận rộn
but	nhưng
butt	mông
butter	bơ
butterfly	con bướm
button	cái nút, cái khuy, cúc
buy	mua
buyer	người mua
by	bởi, bằng
by means of	bằng phương tiện
bye exclamation	tạm biệt
c	rack  bẻ khóa
cab	taxi
cabin	cabin
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cage	cái lồng
cake	bánh ngọt
calculate	tính toán
calculation	sự tính toán
calendar	lịch
call	gọi, tiếng kêu, tiếng gọi
calm	yên lặng, làm dịu đi, sự yên lặng, sự êm ả
calmly	yên lặng, êm ả, bình tĩnh, điềm tĩnh
camera	máy ảnh
camp	trại, chỗ cắm trại, cắm trại, hạ trại
campaign	chiến dịch, cuộc vận động
camping	sự cắm trại
campus	khuôn viên
can	có thể
can modal	có thể, nhà tù, nhà giam, bình, ca đựng
canadian	người canada
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candidate	người ứng cử, thí sinh, người dự thi
candle	nến
candy	kẹo
cannot	không thể
canvas	tranh sơn dầu
cap	mũ lưỡi trai, mũ vải
capability	khả năng
capable	có tài, có năng lực, có khả năng, cả gan
capacity	năng lực, khả năng tiếp thu, năng suất
capital	thủ đô, tiền vốn, chủ yếu, chính yếu, cơ bản
captain	người cầm đầu, người chỉ huy, thủ lĩnh
capture	bắt giữ, bắt, sự bắt giữ, sự bị bắt
car	xe hơi
carbohydrate	carbohydrate
carbon	carbon
card	thẻ, thiếp
cardboard	bìa cứng, các tông
care	sự chăm sóc, chăm nom, chăm sóc
career	nghề nghiệp, sự nghiệp
careful	cẩn thận, cẩn trọng, biết giữ gìn
carefully	cẩn thận, chu đáo
careless	sơ suất, cầu thả
cargo	hàng hóa
carpet	tấm thảm, thảm
carrier	vận chuyển
carrot	củ cà rốt
carry	mang, vác, khuân chở
cart	xe đẩy
cartoon	hoạt hình
carve	khắc chạm
case	vỏ, ngăn, túi
cash	tiền, tiền mặt
casino	casino
cast	quăng, ném, thả, đánh gục, sự quăng, sự ném
castle	thành trì, thành quách
casual	giản dị
casualty	tai nạn
cat	con mèo
catalog	mục lục
catch	bắt lấy, nắm lấy, tóm lấy, chộp lấy
category	hạng, loại, phạm trù
catholic	công giáo
cattle	gia súc
cause	nguyên nhân, nguyên do, gây ra, gây nên
cave	hang
cease	dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling	trần nhà
celebrate	kỷ niệm, làm lễ kỷ niệm, tán dương, ca tụng
celebration	sự kỷ niệm, lễ kỷ niệm, sự tán dương, sự ca tụng
celebrity	người nổi tiếng
cell	ô, ngăn
cellphone	điện thoại di động
cemetery	nghĩa trang
cent	đồng xu
center	trung tâm
centimetre	xen ti met
central	trung tâm, ở giữa, trung ương
centre	điểm giữa, trung tâm, trung ương
century	thế kỷ
ceo	CEO
ceremony	nghi thức, nghi lễ
certain	chắc chắn
certainly	chắc chắn, nhất định
certificate	giấy chứng nhận, bằng, chứng chỉ
chain	dây, xích, xính lại, trói lại
chair	ghế
chairman	chủ tịch
chairman, chairwoman	chủ tịch, chủ tọa
challenge	sự thử thách, sự thách thức, thách thức, thử thách
chamber	buồng, phòng, buồng ngủ
champion	quán quân
championship	chức vô địch
chance	sự may mắn
change	thay đổi, sự thay đổi, sự biến đổi
changing	thay đổi
channel	kênh , eo biển
chaos	hỗn loạn
chapter	chương
character	tính cách, đặc tính, nhân vật
characteristic	riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
characterize	đặc trưng
charge	nhiệm vụ, bổn phận, trách nhiệm, giao nhiệm vụ, giao việc
charity	lòng từ thiện, lòng nhân đức, sự bố thí
charm	quyến rũ
chart	đồ thị, biểu đồ, vẽ đồ thị, lập biểu đồ
charter	điều lệ
chase	săn bắt, sự săn bắt
chat	nói chuyện, tán gẫu, chuyện phiếm, chuyện gẫu
cheap	rẻ
cheaply	rẻ, rẻ tiền
cheat	lừa, lừa đảo, trò lừa đảo, trò gian lận
check	kiểm tra, sự kiểm tra
cheek	má
cheer	vui lên
cheerful	vui mừng, phấn khởi, hồ hởi
cheerfully	vui vẻ, phấn khởi
cheese	pho mát
chef	đầu bếp
chemical	thuộc hóa học, chất hóa học, hóa chất
chemist	nhà hóa học
chemistry	hóa học
chemist’s	hóa học, môn hóa học, ngành hóa học
cheque	séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	trọng yếu, chính yếu, thủ lĩnh, lãnh tụ, người đứng đầu, xếp
child	đứa bé, đứa trẻ
childhood	thời thơ ấu
chill	làm lạnh
chin	cằm
chinese	trung quốc
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate	sô cô la
choice	sự lựa chọn
cholesterol	cholesterol
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
christian	christian
christianity	cơ đốc giáo
christmas	giáng sinh
chronic	mãn tính
chunk	mảnh
church	nhà thờ
chỉ huycomment	lời bình luận, lời chú giải, bình luận, phê bình, chú thích,
cigarette	điếu thuốc lá
circle	đường tròn, hình tròn
circuit	mạch
circumstance	hoàn cảnh, trường hợp, tình huống
cite	trích dẫn
citizen	người thành thị
citizenship	quyền công dân
city	thành phố
civic	công dân
civil	công dân
civilian	dân thường
civilization	nền văn minh
claim	đòi hỏi, yêu sách, sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	vỗ, vỗ tay, tiếng nổ, tiếng vỗ tay
class	lớp học
classic	cổ điển, kinh điển
classical	cổ điển
classify	phân loại
classroom	lớp học, phòng học
clay	đất sét
clean	sạch, sạch sẽ,
clear	trong sáng
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo
click	làm thành tiếng lách cách, tiếng lách cách, cú nhắp
client	khách hàng
cliff	vách đá
climate	khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
cling	bám lấy
clinic	phòng khám bệnh
clinical	lâm sàng
clip	kẹp
clock	đồng hồ
close	đóng kín, chật chội, che đậy
closed	bảo thủ, không cởi mở, khép kín
closely	chặt chẽ, kỹ lưỡng, tỉ mỉ
closer	gần hơn
closest	gần nhất
closet	buồng, phòng để đồ, phòng kho
cloth	vải, khăn trải bàn, áo thầy tu
clothes	quần áo
clothing	quần áo, y phục
cloud	mây, đám mây
club	câu lạc bộ, gậy, dùi cui
clue	manh mối
cluster	cụm
coach	huấn luyện viên
coal	than đá
coalition	liên minh
coast	sự lao dốc, bờ biển
coastal	duyên hải
coat	áo choàng
cocaine	cocaine
code	mật mã, luật, điều lệ
coffee	cà phê
cognitive	nhận thức
coin	tiền kim loại
cold	lạnh, sự lạnh lẽo, lạnh nhạt
coldly	lạnh nhạt, hờ hững, vô tâm
collaboration	hợp tác
collapse	đổ, sụp đổ, sự đổ nát, sự sụp đổ
collar	cổ áo
colleague	bạn đồng nghiệp
collect	sưu tập, tập trung lại
collection	sự sưu tập, sự tụ họp
collective	tập thể
collector	người thu gom
college	trường cao đẳng, trường đại học
colonial	thuộc địa
colony	thuộc địa
color	màu
colorful	Đầy màu sắc
colour	màu sắc, tô màu
coloured	mang màu sắc, có màu sắc
column	cột , mục
columnist	nhà bình luận viên
combat	chống lại
combination	sự kết hợp, sự phối hợp
combine	kết hợp, phối hợp
combined	kết hợp
come	đến, tới, đi đến, đi tới
comedy	hài kịch
comfort	sự an ủi, khuyên giải, lời động viên, sự an nhàn, dỗ dành, an
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
coming	đang đến
command	ra lệnh, chỉ huy, lệnh, mệnh lệnh, quyền ra lệnh, quyền
commander	chỉ huy
comment	bình luận
commercial	buôn bán, thương mại
commission	hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác, ủy nhiệm, ủy
commissioner	ủy viên
commit	giao, gửi, ủy nhiệm, ủy thác, tống giam, bỏ tù
commitment	sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
commodity	hàng hóa
common	công, công cộng, thông thường, phổ biến
commonly	thông thường, bình thường
communicate	truyền, truyền đạt, giao thiệp, liên lạc
communication	sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community	dân chúng, nhân dân
companion	đồng hành
company	công ty
comparable	so sánh
compare	so sánh, đối chiếu
comparison	sự so sánh
compel	bắt buộc
compelling	thuyết phục
compensation	đền bù
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive	cạnh tranh, đua tranh
competitor	đối thủ
complain	phàn nàn, kêu ca
complaint	lời than phiền, than thở, sự khiếu nại, đơn kiện
complete	hoàn thành, xong,
completely	hoàn thành, đầy đủ, trọn vẹn
complex	phức tạp, rắc rối
complexity	phức tạp
compliance	sự tuân thủ
complicate	làm phức tạp, rắc rối
complicated	phức tạp, rắc rối
comply	tuân theo
component	thành phần
compose	soạn, biên soạn
composition	thành phần
compound	hợp chất
comprehensive	toàn diện
comprise	bao gồm
compromise	thỏa hiệp
computer	máy tính
concede	công nhận
conceive	thụ thai
concentrate	tập trung
concentration	sự tập trung, nơi tập trung
concept	khái niệm
conception	quan niệm
concern	liên quan, dính líu tới, sự liên quan, sự dính líu tới
concerned	có liên quan, có dính líu
concerning	bâng khuâng, ái ngại
concert	buổi hòa nhạc
conclude	kết luận, kết thúc, chấm dứt
conclusion	sự kết thúc, sự kết luận, phần kết luận
concrete	bằng bê tông, bê tông
condemn	lên án
condition	điều kiện, tình cảnh, tình thế
conduct	điều khiển, chỉ đạo, chỉ huy, sự điều khiển, chỉ
conference	hội nghị, sự bàn bạc
confess	xưng
confession	lời thú tội
confidence	lòng tin tưởng, sự tin cậy
confident	tin tưởng, tin cậy, tự tin
confidently	tự tin
confine	giam giữ, hạn chế
confined	hạn chế, giới hạn
confirm	xác nhận, chứng thực
conflict	xung đột, va chạm, sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confrontation	đối đầu
confuse	nhầm lẫn
confused	bối rối, lúng túng, ngượng
confusing	khó hiểu, gây bối rối
confusion	sự lộn xộn, sự rối loạn
congratulations	sự chúc mừng, khen ngợi, lời chúc mừng, khen
congress	đại hội, hội nghị, quốc hội
congressional	quốc hội
connect	kết nối, nối
connection	sự kết nối, sự giao kết
conscience	lương tâm
conscious	tỉnh táo, có ý thức, biết rõ
consciousness	ý thức
consecutive	liên tiếp
consensus	sự đồng thuận
consent	bằng lòng
consequence	kết quả, hậu quả
consequently	hậu quả là
conservation	bảo tồn
conservative	thận trọng, dè dặt, bảo thủ
consider	cân nhắc, xem xét, để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
